From,To,distance,time
571QC813,571QC824,0.676862584,1.353725168
571QC814,571QC824,0.516318663,1.032637326
571QC816,571QC824,1.643458739,3.286917477
571QC820,571QC824,2.294442198,4.588884397
571QC822,571QC824,1.277238785,2.554477571
571QC823,571QC824,0.660863612,1.321727224
571QC824,571QC824,0,0
571QC828,571QC824,2.039357842,4.078715683
571QC826,571QC824,1.779379862,3.558759723
571QD802,571QC824,6.277420568,12.55484114
571QD804,571QC824,5.633333784,11.26666757
571QD809,571QC824,5.499885742,10.99977148
571QD812,571QC824,4.728178712,9.456357423
571QD813,571QC824,5.451511195,10.90302239
571QD814,571QC824,3.985845845,7.971691689
571QD815,571QC824,5.623287338,11.24657468
571QD816,571QC824,5.065832336,10.13166467
571QD818,571QC824,4.738700687,9.477401373
571QD820,571QC824,3.125722722,6.251445444
571QD821,571QC824,6.028514525,12.05702905
571NF801,571QC824,4.044766572,8.089533143
571NF805,571QC824,4.180795797,8.361591594
571NF806,571QC824,5.296143116,10.59228623
571NF807,571QC824,2.602322847,5.204645694
571NF808,571QC824,7.176321018,14.35264204
571NF809,571QC824,6.439948108,12.87989622
571AG803,571QC824,3.626225112,7.252450224
571AG806,571QC824,1.518003717,3.036007433
