from,to,dist,time
571AG,571CL,28.418,48.71657143
571AG,571FB,28.682,49.16914286
571AG,571CD,6.844,11.73257143
571AG,571HN,6.418,11.00228571
571AG,571J,11.365,19.48285714
571AG,571JB,10.788,18.49371429
571AG,571KA,18.696,32.05028571
571AG,571KL,14.422,24.72342857
571AG,571FE,47.206,80.92457143
571AG,571MC,41.912,71.84914286
571AG,571MF,44.72,76.66285714
571AG,571M,49.306,84.52457143
571AG,571MB,46.509,79.72971429
571AG,571MD,60.607,103.8977143
571AG,571NA,19.481,33.396
571AG,571NE,12.332,21.14057143
571AG,571NC,23.291,39.92742857
571AG,571P,20.129,34.50685714
571AG,571PB,22.937,39.32057143
571AG,571PC,17.387,29.80628571
571AG,571PD,21.446,36.76457143
571AG,571AJ,9.261,15.876
571AG,571KJ,9.76,16.73142857
571AG,571PF,22.087,37.86342857
571AG,571PG,24.744,42.41828571
571AG,571PH,21.185,36.31714286
571AG,571AE,10.744,18.41828571
571AG,571HP,9.16,15.70285714
571AG,571QF,11.133,19.08514286
571AG,571QA,8.183,14.028
571AG,571QC,6.645,11.39142857
571AG,571QD,5.785,9.917142857
571AG,571QE,6.698,11.48228571
571AG,571QM,50.841,87.156
571AG,571L,87.452,149.9177143
571AG,571LA,85.964,147.3668571
571AG,571SF,160.852,275.7462857
571AG,571SA,139.456,239.0674286
571AG,571SE,134.437,230.4634286
571AG,571SP,155.029,265.764
571AG,571SQ,114.289,195.924
571AG,571ST,128.463,220.2222857
571AG,571NB,13.322,22.83771429
571AG,571NH,11.969,20.51828571
571AG,571QB,20.86,35.76
571AG,571FX,37.29,63.92571429
571AG,571KM,35.392,60.672
571AG,571TC,36.414,62.424
571AG,571TB,18.744,32.13257143
571AG,571TE,25.383,43.51371429
571AG,571TK,22.207,38.06914286
571AG,571TP,34.034,58.344
571AG,571W,34.147,58.53771429
571AG,571WA,44.335,76.00285714
571AG,571WW,49.813,85.39371429
571AC,571AA,24.898,42.68228571
571AC,571AD,22.033,37.77085714
571AC,571AF,22.048,37.79657143
571AC,571AG,34.504,59.14971429
571AC,571AQ,5.311,9.104571429
571AC,571AM,18.699,32.05542857
571AC,571AB,87.23,149.5371429
571AC,571JC,88.452,151.632
571AC,571KH,97.967,167.9434286
571AC,571TH,121.565,208.3971429
571AC,571TL,76.266,130.7417143
571AC,571DA,24.996,42.85028571
571AC,571K,15.456,26.496
571AC,571KF,23.762,40.73485714
571AC,571KC,23.274,39.89828571
571AC,571TD,13.669,23.43257143
571AC,571TN,15.326,26.27314286
571AC,571HC,10.749,18.42685714
571AC,571TM,10.631,18.22457143
571AC,571B,23.228,39.81942857
571AC,571BM,27.632,47.36914286
571AC,571CAE,34.184,58.60114286
