from,to,dist,time
571AG,571SE,134.437,268.874
571AG,571SP,155.029,310.058
571AG,571SQ,114.289,228.578
571AG,571ST,128.463,256.926
571AG,571NB,13.322,26.644
571AG,571NH,11.969,23.938
571AG,571QB,20.86,41.72
571AG,571FX,37.29,79.58
571AG,571KM,35.392,75.784
571AG,571TC,36.414,72.828
571AG,571TB,18.744,37.488
571AG,571TE,25.383,50.766
571AG,571TK,22.207,44.414
571AG,571TP,34.034,68.068
571AG,571W,34.147,68.294
571AG,571WA,44.335,93.67
571AG,571WW,49.813,104.626
571AC,571AA,24.898,49.796
571AC,571AD,22.033,44.066
571AC,571AF,22.048,44.096
571AC,571AG,34.504,69.008
571AC,571AQ,5.311,10.622
571AC,571AM,18.699,37.398
571AC,571AB,87.23,174.46
571AC,571JC,88.452,176.904
571AC,571KH,97.967,195.934
571AC,571TH,121.565,243.13
571AC,571TL,76.266,152.532
571AC,571DA,24.996,49.992
571AC,571K,15.456,30.912
571AC,571KF,23.762,47.524
571AC,571KC,23.274,46.548
571AC,571TD,13.669,27.338
571AC,571TN,15.326,30.652
571AC,571HC,10.749,21.498
571AC,571TM,10.631,21.262
571AC,571B,23.228,46.456
571AC,571BM,27.632,55.264
571AC,571CAE,34.184,73.368
571AC,571FC,26.067,57.134
571AC,571FN,22.192,49.384
571AC,571LD,26.354,57.708
571AC,571FT,35.7,76.4
571AC,571KB,34.315,73.63
571AC,571CS,25.23,50.46
571AC,571D,20.693,41.386
571AC,571DC,31.844,63.688
571AC,571CC,22.87,50.74
571AC,571FQ,20.328,45.656
571AC,571HK,33.413,71.826
571AC,571E,26.145,52.29
571AC,571EA,25.266,50.532
571AC,571HB,6.136,12.272
571AC,571KT,3.087,6.174
571AC,571DB,26.461,52.922
571AC,571DJ,23.925,47.85
571AC,571H,22.699,45.398
571AC,571TF,20.471,40.942
571AC,571TQ,15.924,31.848
571AC,571FF,35.792,76.584
571AC,571FH,42.991,90.982
571AC,571FL,38.249,81.498
571AC,571FJ,144.845,289.69
571AC,571SC,122.541,245.082
571AC,571FG,48.328,101.656
571AC,571MQ,24.334,53.668
571AC,571NF,32.231,64.462
571AC,571NG,42.949,85.898
571AC,571FA,22.06,49.12
571AC,571FP,20.663,46.326
571AC,571HJ,24.033,53.066
571AC,571LB,18.566,42.132
571AC,571QKA,32.368,64.736
571AC,571QKB,21.036,42.072
571AC,571QKC,35.464,70.928
571AC,571QKD,1.881,3.762
571AC,571QKE,28.418,61.836
571AC,571QKF,18.691,37.382
571AC,571QKG,40.866,81.732
571AC,571QKT,0,5
571AC,571FM,35.336,75.672
571AC,571FD,33.119,71.238
571AC,571FR,42.454,89.908
571AC,571FS,44.901,94.802
571AC,571LH,30.207,65.414
571AC,571SH,52.055,109.11
571AC,571FK,92.907,185.814
571AC,571G,71.052,142.104
571AC,571GB,59.009,118.018
571AC,571GC,75.492,150.984
571AC,571HG,79.801,159.602
571AC,571SB,68.003,136.006
571AC,571SD,67.932,135.864
571AC,571CK,24.811,54.622
571AC,571CL,28.519,62.038
571AC,571FB,30.6,66.2
571AC,571CD,29.181,58.362
571AC,571HN,50.442,100.884
571AC,571J,25.908,51.816
571AC,571JB,24.509,49.018
571AC,571KA,18.546,37.092
571AC,571KL,23.135,46.27
571AC,571FE,18.731,42.462
571AC,571MC,13.437,31.874
571AC,571MF,16.245,37.49
571AC,571M,21.777,48.554
571AC,571MB,18.98,42.96
571AC,571MD,33.078,71.156
571AC,571NA,49.886,99.772
571AC,571NE,44.345,88.69
571AC,571NC,13.753,27.506
571AC,571P,24.855,49.71
571AC,571PB,21.581,43.162
571AC,571PC,23.571,47.142
571AC,571PD,30.9,61.8
571AC,571AJ,27.443,54.886
571AC,571KJ,26.838,53.676
571AC,571PF,26.115,52.23
571AC,571PG,53.941,107.882
571AC,571PH,20.632,41.264
571AC,571AE,54.768,109.536
571AC,571HP,53.184,106.368
571AC,571QF,35.32,70.64
571AC,571QA,25.32,50.64
571AC,571QC,31.852,63.704
571AC,571QD,28.234,56.468
571AC,571QE,29.749,59.498
571AC,571QM,23.312,51.624
571AC,571L,110.752,221.504
571AC,571LA,109.264,218.528
571AC,571SF,184.152,368.304
571AC,571SA,162.756,325.512
571AC,571SE,157.737,315.474
571AC,571SP,178.329,356.658
571AC,571SQ,137.589,275.178
571AC,571ST,151.763,303.526
571AC,571NB,57.346,114.692
571AC,571NH,40.008,80.016
571AC,571QB,64.884,129.768
571AC,571FX,20.462,45.924
571AC,571KM,21.61,48.22
571AC,571TC,26.748,53.496
571AC,571TB,32.929,65.858
571AC,571TE,39.568,79.136
571AC,571TK,24.444,48.888
571AC,571TP,28.661,57.322
571AC,571W,2.061,4.122
571AC,571WA,16.806,38.612
571AC,571WW,22.284,49.568
571AQ,571AA,31.675,63.35
571AQ,571AD,28.81,57.62
571AQ,571AF,28.825,57.65
571AQ,571AG,41.668,83.336
571AQ,571AC,4.697,9.394
571AQ,571AM,15.525,31.05
571AQ,571AB,94.007,188.014
571AQ,571JC,95.229,190.458
571AQ,571KH,104.744,209.488
571AQ,571TH,128.342,256.684
571AQ,571TL,83.043,166.086
571AQ,571DA,27.156,54.312
571AQ,571K,22.233,44.466
571AQ,571KF,28.558,57.116
571AQ,571KC,25.434,50.868
571AQ,571TD,20.446,40.892
571AQ,571TN,22.103,44.206
571AQ,571HC,10.641,21.282
571AQ,571TM,11.759,23.518
571AQ,571B,30.005,60.01
571AQ,571BM,34.409,68.818
571AQ,571CAE,30.951,66.902
571AQ,571FC,24.196,53.392
571AQ,571FN,20.321,45.642
571AQ,571LD,25.66,56.32
571AQ,571FT,29.278,63.556
571AQ,571KB,31.082,67.164
571AQ,571CS,32.007,64.014
571AQ,571D,27.47,54.94
571AQ,571DC,39.008,78.016
571AQ,571CC,20.999,46.998
571AQ,571FQ,18.457,41.914
571AQ,571HK,31.542,68.084
571AQ,571E,32.922,65.844
571AQ,571EA,32.043,64.086
571AQ,571HB,10.524,21.048
571AQ,571KT,7.404,14.808
571AQ,571DB,33.77,67.54
571AQ,571DJ,31.346,62.692
571AQ,571H,29.476,58.952
571AQ,571TF,27.248,54.496
571AQ,571TQ,22.701,45.402
571AQ,571FF,32.298,69.596
571AQ,571FH,41.12,87.24
571AQ,571FL,33.965,72.93
571AQ,571FJ,142.974,285.948
571AQ,571SC,120.67,241.34
571AQ,571FG,46.457,97.914
571AQ,571MQ,26.494,57.988
571AQ,571NF,41.808,83.616
571AQ,571NG,45.109,90.218
571AQ,571FA,22.687,50.374
571AQ,571FP,21.919,48.838
571AQ,571HJ,27.863,60.726
571AQ,571LB,25.944,56.888
571AQ,571QKA,46.108,92.216
571AQ,571QKB,19.165,38.33
571AQ,571QKC,60.627,121.254
571AQ,571QKD,3.151,6.302
571AQ,571QKE,28.069,61.138
571AQ,571QKF,15.517,31.034
571AQ,571QKG,59.868,119.736
571AQ,571QKT,0,5
571AQ,571FM,28.616,62.232
571AQ,571FD,31.248,67.496
571AQ,571FR,40.583,86.166
571AQ,571FS,43.03,91.06
571AQ,571LH,28.336,61.672
571AQ,571SH,50.184,105.368
571AQ,571FK,91.036,182.072
571AQ,571G,69.181,138.362
571AQ,571GB,57.138,114.276
571AQ,571GC,73.621,147.242
571AQ,571HG,77.93,155.86
571AQ,571SB,66.132,132.264
571AQ,571SD,66.061,132.122
571AQ,571CK,28.641,62.282
571AQ,571CL,27.803,60.606
571AQ,571FB,27.064,59.128
571AQ,571CD,35.958,71.916
571AQ,571HN,52.602,105.204
571AQ,571J,32.685,65.37
571AQ,571JB,31.286,62.572
571AQ,571KA,25.323,50.646
571AQ,571KL,29.912,59.824
571AQ,571FE,20.891,46.782
571AQ,571MC,15.597,36.194
571AQ,571MF,18.405,41.81
571AQ,571M,19.906,44.812
571AQ,571MB,17.109,39.218
571AQ,571MD,31.207,67.414
571AQ,571NA,52.046,104.092
571AQ,571NE,46.505,93.01
571AQ,571NC,20.53,41.06
571AQ,571P,31.632,63.264
571AQ,571PB,17.349,34.698
571AQ,571PC,20.124,40.248
571AQ,571PD,37.677,75.354
571AQ,571AJ,34.22,68.44
571AQ,571KJ,33.615,67.23
571AQ,571PF,32.542,65.084
571AQ,571PG,52.07,104.14
571AQ,571PH,18.93,37.86
571AQ,571AE,61.707,123.414
571AQ,571HP,55.344,110.688
571AQ,571QF,60.483,120.966
571AQ,571QA,32.097,64.194
571AQ,571QC,39.016,78.032
571AQ,571QD,35.011,70.022
571AQ,571QE,36.913,73.826
571AQ,571QM,21.441,47.882
571AQ,571L,108.881,217.762
571AQ,571LA,107.393,214.786
571AQ,571SF,182.281,364.562
571AQ,571SA,160.885,321.77
571AQ,571SE,155.866,311.732
571AQ,571SP,176.458,352.916
571AQ,571SQ,135.718,271.436
571AQ,571ST,149.892,299.784
571AQ,571NB,64.285,128.57
571AQ,571NH,59.01,118.02
571AQ,571QB,71.661,143.322
571AQ,571FX,18.591,42.182
571AQ,571KM,20.198,45.396
571AQ,571TC,33.525,67.05
571AQ,571TB,35.089,70.178
571AQ,571TE,41.728,83.456
571AQ,571TK,26.604,53.208
571AQ,571TP,41.839,83.678
571AQ,571W,3.331,6.662
571AQ,571WA,14.935,34.87
571AQ,571WW,20.413,45.826
571AM,571AA,6.393,12.786
571AM,571AD,9.459,18.918
571AM,571AF,5.462,10.924
571AM,571AG,21.798,43.596
571AM,571AC,19.37,38.74
571AM,571AQ,31.794,63.588
571AM,571AB,52.451,104.902
