from,to,dist,time
571AQ,571NB,64.285,85.71333333
571AQ,571NH,59.01,78.68
571AQ,571QB,71.661,95.548
571AQ,571FX,18.591,24.788
571AQ,571KM,20.198,26.93066667
571AQ,571TC,33.525,44.7
571AQ,571TB,35.089,46.78533333
571AQ,571TE,41.728,55.63733333
571AQ,571TK,26.604,35.472
571AQ,571TP,41.839,55.78533333
571AQ,571W,3.331,4.441333333
571AQ,571WA,14.935,19.91333333
571AQ,571WW,20.413,27.21733333
571AM,571AA,6.393,8.524
571AM,571AD,9.459,12.612
571AM,571AF,5.462,7.282666667
571AM,571AG,21.798,29.064
571AM,571AC,19.37,25.82666667
